mip_lower,n
ecomunie,1
eliminating globalism in canada,1
elire des personnes decentes,1
elire un chef de parti qui travaille pour la nation et ses aspirations,1
ending genocide,1
ending waste,1
enjeu pas trop important,1
enjeux itinerances,1
enrichir les riches,1
ensuring a prosperous future for canadians,1
equilibre,1
esclavage,1
etat unie,1
etre souverain,1
everyone,1
everyone is shit,1
everything is,1
exoenses,1
expanding govt support,1
expenses,1
experience,1
exploitation de nos ressources,1
exporting canadas natural resourses,1
failed policies,1
faire face a trum0,1
faire le maximun pour regler le probleme avec le malade chez notre voisin du sud,1
faire notre place en tant que pays souverain,1
false hope,1
false news,1
fear,1
fierte detre au canada et le respect des elus,1
fighting for people and provide good life for canadian,1
fighting off the farright and all it comes with it,1
fin du mondialisme,1
finamcial,1
finanaces,1
finding a solution to help canadians,1
finical stability,1
first past post,1
fish,1
fixing canada,1
fixing the roads,1
fixing the shit trudeu fucked,1
focusing on not important policies,1
foggy,1
follow through with what you say,1
foreigners,1
frais,1
frais de douane,1
fshdf,1
future,1
future if canada,1
fyatu,1
gab jhhhh,1
garder notre payis du canada,1
genocide,1
get heads on straigt,1
get rid of lieberals,1
get rid of the worst govt in our history,1
get somebody in that looks after the country,1
getting control over the expense just to live,1
getting recognition for my community and peoples,1
getting rid of asians and indians,1
getting rid of the farleft communists,1
gfd,1
ghnvc,1
globalist,1
good feel,1
good governor,1
good ppl,1
goof,1
grerg geg ebg3 eg4,1
gtyhu,1
gub control,1
habitation,1
hahaha,1
happy,1
hard to make a good choice,1
have a united canada,1
have western canada matter,1
having no one to uphold the way of life for canadians and their customs,1
heailth services,1
help give the people a better life,1
helping canadians,1
hgmg,1
hhh,1
hhhhhhhggvggvfffv,1
highways,1
hit,1
homelesnnes,1
homesincrease,1
hou,1
how broken and devided our country feels now,1
how rushed it seems to be,1
how the pooling is done,1
how the seats are spread out,1
how to deal with our southern neighbour,1
hpmelessness,1
humaniser les systemes et la societe en generale,1
i am against globalization,1
i am worried about carneys involvement with the wef,1
i cant decide,1
i cant take part as a pr,1
i do t know,1
i donot know,1
i dont like the time period,1
i dont like to answer this,1
i dont want canada to be for sale,1
i dony know,1
i feel worried very worried,1
i fell its good,1
i flation,1
i want my country to be successful and people deserve the best,1
i want someone to have common sense,1
i would say taking care of citizens in the country rather than focusing and countering world issues,1
idees politiques et convictions,1
idlk,1
ido,1
if we get a good primer,1
il faut que le parti sois elu fort majoritaire,1
il y a trop denjeux,1
illegal activities,1
ils sont tous la pour eux memes,1
im nflation,1
im scared,1
im very concerned about the bias and personal attacks,1
imagination,1
imkigrants,1
immogration,1
in the moment,1
inconnu,1
indians too many ragheads,1
infalaction,1
infation,1
inflatable,1
inflatiob,1
influence de droite,1
influence of other countries higher authorities,1
inform correct info,1
information without bias,1
insecurity issue,1
integration a la fonction publique,1
intelligent govt,1
inter canadian policys,1
interest,1
investing in csis and caf,1
isir,1
it benefiting the people,1
it is too hard ti choose,1
its a critical situation,1
its always like some type of roast battle,1
its complete,1
its just not it,1
its not the harmony,1
its okay,1
jbljk bj bjb jj bj blj bljj bbj jb bjlbbjbl bjbjb b jbj,1
je bsais pas,1
je ne saos pas,1
keep canada canada,1
keep canada canadian,1
keep the country free,1
keeping authoritiarians out of goverenment,1
keeping cbc,1
keeping my property,1
keeping our country together,1
keeping our society programs,1
keeping regressives out,1
keeping the cbc,1
keeping the conservitves from power,1
keeping the public service strong,1
kjbkjbjbjkl bjk bjlbljbl jj bjk bjh b ljk bjll bklbljlbjk bkj,1
kufr and shirk,1
la bonne gestion du pays,1
la capacite de repondre efficacement mais aussi de maniere ponderee aux menaces que represente maintenant les eu,1
la coherence,1
la cohesion nationale,1
la confiance,1
la corrumption doit cesser,1
la difference dopinion,1
la gestion des interdependances,1
la menace etasunienne,1
la merde,1
la monte le lextreme droite,1
la protection du canada,1
la relation avec les e u,1
la situation des fonctionnaires federaux,1
la situation face aux eu,1
la societe,1
la suite des evenements,1
la survie de notre pays,1
la survie des institutions canadiennes,1
la survie du canada,1
la vulnerabilite du canada,1
lacces aux services,1
lack,1
lack of awareness,1
lack of care,1
lack of choice,1
lack of information or difficulties in finding infor,1
lack of knowledge,1
lagent orange etats unien,1
lanque,1
lautonomie du pays,1
lavenir du pays,1
lavortement,1
le bon choix,1
le canada fort,1
le canada souverain,1
le citoyen et son bien doit passer avant tout,1
le coup de la vie,1
le futur,1
le manque de parti,1
le partenariat et limigeation,1
le pays b,1
le porte feuille des citoyens,1
le respect,1
le respect des besoins essentiels de toutes et tous les canadien ne s,1
le retour en arriere,1
le transport collectif,1
leaving out the personal agendas of the people running and looking after the country as a whole not just the east,1
legalite,1
lemvironnement,1
lenjeu principal est de developper une meilleure vision davenir pour le canada,1
lenrironnement,1
lequite entre les personnes,1
les amis requins,1
les citoyens,1
les droitsdedouanes,1
les echanges commerciaux,1
les elues,1
les fiinances,1
les gens qui meurent,1
les mesures pour aider les gens,1
les negociations avec notre voisin,1
les services de consommation supervisee,1
les surtaxes,1
les taris douanier,1
let the kids live as kids do not teach them any bad subjects,1
lhabitation,1
lhonnete,1
lhonnetete,1
lib,1
libs suck,1
lidentite canadienne,1
limate change,1
limposition,1
linflammation,1
linformation nest pas bien partage il faut vraiment fouiller,1
litinerance,1
lknlkl,1
lksdfkls oiwmer joismnfjsdfkl qoprkwl qjjksfdn wieor sfjklsd n qoiw,1
loffre et la demande,1
looking after canadians,1
looking after our own citizens,1
looks after the people of canada,1
lots of misleading information,1
love,1
love it,1
low biometric device,1
lunion du pays,1
lunite du pays,1
lunite du pays le canada,1
m3dical,1
maintaining canada,1
maintenir le canada fort et uni,1
majorite,1
majority winning,1
make canada great again,1
make things better,1
making canada and its people richer,1
making canada better able to look after its own needs,1
making canada better again,1
making canada less dependant on the world,1
making canada strong,1
making life livable again,1
making new alliances,1
making sure pollieve does not win,1
making sure we stay proud and free,1
malheureusement comme le pays peut faire face a un voisin voyou,1
malheureusement la crotte au fromage au sud,1
mandates whoever wanted it is out automatically,1
manque de stabilite,1
manque dinformations,1
marde,1
marginalized communities,1
meh,1
mettre un frein aux idees ou concepts de ladroite radicale qui nous emmene vers un type de societe qui ne me convient pas,1
miney,1
moderately,1
mon portefeuille,1
monetaire,1
monsters coming here for the galled stuff,1
more help for canadian citizens,1
more than one thing is very important to me,1
my grandchildrens future,1
my interests,1
nah,1
nation hood,1
national cohesiveness,1
national problems,1
national stability,1
ne pas faire parti des etats unie,1
ne pas repondre,1
ne sais ps,1
negative campaigning,1
negociation avec les etats unls,1
negociation de alena,1
negociation etas unis,1
nepotism,1
never 51,1
nkvedkvjeifjvoefjo,1
no cons,1
no good options all seem selfish and rich,1
no one cares about the people,1
no one fulfill their words,1
no one to pick,1
no person is solely response,1
no proper campaigning,1
no specific reason in general after covid not happy,1
nobody cares they are out for themselves,1
nocomments,1
not a lot of options,1
not being truthful,1
not conserning about the kngoing issues,1
not decided,1
not enough choice,1
not enough time,1
not evenly divided,1
not good,1
not letting pollieve in,1
not only,1
not pollieve,1
not supporting those who support or conduct genocide,1
not to be connected to wef or who,1
not very serious about the citizens and their life,1
not very sure,1
nothings,1
noting,1
notre avenir,1
notre idenite comme nation,1
notre pay le canada,1
notre pays,1
notre relation avec les etas unis,1
nugger,1
oddp being raised,1
opinion,1
opportunity for young people,1
optimistic,1
our country,1
our countrys future,1
over population,1
overcoming the future uncertainty,1
overtaxing,1
partage,1
partie politique,1
pas dopinion,1
pas vraiment,1
patriotism solodarity,1
pay rate,1
pentions,1
people,1
people keeping their word,1
peoples,1
peoples opinions actually listened to,1
personally i will not be affected,1
peu importe,1
place du canada dans le monde,1
plus de demcratie,1
plus pour les moins bien nantis,1
pnta,1
policy change,1
politics,1
politique,1
poll dates,1
pop,1
population,1
pp losing,1
pp wins,1
prefere ne pas me prononce,1
preserving the canadian way of life,1
pretecting canada,1
preventing cons nazis from taking control,1
preventing expansion of maid,1
probably the wrong person going in,1
process,1
proper way of taking care of our country,1
protect our country,1
protect our sovientry,1
protecting and helping canadian citizens before anyone else,1
protecting canadians,1
protecting everything canadian,1
protecting the cbc,1
protection du canada,1
protection nationale,1
proteger les interets des canadiens et canadiennes,1
public service,1
pure polyeth to get in,1
putting adults back in charge of the country and opposing public service return to the office policies,1
qualite des services publiques,1
que la canada soit mieux gere,1
que ladroite ne lemporte pas,1
que le canada ait un caractere,1
que nous restons unis,1
qwerty,1
racial profiling,1
reduire la dettt,1
relation avec les eu,1
religous charity status,1
remain canadian,1
remaining canadian,1
remettre le canada sur pied,1
remove librals,1
rendre le pays plus autonome,1
rescission,1
resilience meaning adapting to the current events through considered action that is forward future thinking,1
resolve population crisis,1
respecting that this is canada and it should stay that way,1
responsabilite,1
rester canadienne,1
rester un pays fort et libre,1
return to entrepreneurship in canada,1
return to sanity,1
ridings,1
rigged,1
rigging,1
rise of facism,1
run our country properly,1
s o,1
safwty,1
same sex marriage,1
save canada,1
saving my country,1
science,1
sdfasdg,1
se demarquer,1
se faire respecter comme citoyen dun pays souverain,1
se tenir debout,1
self reliance,1
sernior citizen issues,1
service aux electeurs,1
shit,1
short days,1
simplify things to many rules with to many adjustments,1
situation geopolitique,1
sjbcv,1
so fast,1
so many,1
so many i cant choose,1
so many problems going on how are we going to help our people again,1
so that conservaties win,1
socialism,1
solidarite canadienne,1
solidarity,1
someone getting in that shouldnt,1
someone who will do good,1
sortir le plc,1
souverainetes,1
souverainnete canadienne,1
speed,1
stabilite,1
stabilty,1
standing up for whats best for humanity,1
standing up to yrump,1
stay a canadian,1
stop inflattion,1
stopping canadas headlong rush towards a failed state,1
stopping fascisms rebirth,1
stopping the nazi christian nonsense,1
sucks,1
summarizing the complexity of politics to one issue,1
support canada,1
support for disadvantaged canadians,1
support for sick canadians especially cancer,1
supporting the farmers,1
surviving in a world with a maniac next door,1
syability,1
tac,1
tackling current issues with our southern neighbour,1
taking care of vulnerable people,1
tariifs,1
tarrfs,1
tatiffs,1
taux d interest,1
that canada remains canada,1
that it is done innocently,1
that mr pp not get in,1
that pp does not get in and ruin our country,1
that the pcs dont win,1
that the ucp do not win,1
that we get p m that has balls,1
that we remain an intact country,1
that we should be able to contimue to help countries that need help,1
thats the canadian citizens get what they deserve,1
the ability to make canada better,1
the amount spent for campaign,1
the antiquated system,1
the bully in washington,1
the choices,1
the crowd,1
the inability of western canada to gain a voice,1
the lack of action just words,1
the liston to the people,1
the lunatic down south,1
the members,1
the mos important issue is what priorities will make for the people,1
the normalization of mean spirited populism,1
the only reason im asking,1
the only way i,1
the opposing views,1
the outcome,1
the overthrow of capitalism,1
the people,1
the peoples are basically ignored,1
the policy,1
the protection of the cbc,1
the running of the cpuntry,1
the smile,1
the state of canada,1
the u s threat to canada,1
the unhoused,1
the way the east is prioritized more,1
the west matters too not just ontario,1
the whole system is in collapse,1
there are not a lot of viable options the political world is very strangely limited,1
there are too many important issues,1
there is more than one,1
theres too much focus on the wrong things,1
they dont listen to the needs of their people,1
they need to get on the same line,1
they sometimes cheat,1
theyre all fake,1
things to get better,1
those who are in power are selfish,1
threat fromus,1
thrump,1
to adjust the mandatory withdraws from rrif,1
to change the goverment,1
to come a person make canada better,1
to help the canadians,1
to many to mention,1
to move forward,1
to see someone worthy win,1
to shut down the coservatives,1
to solve the basic problems canada is facing,1
to stop helping other counties and focus on canada,1
too early,1
too hard to capture everything or isolate just one thing,1
too many,1
too many to name,1
too much at stake,1
too much text,1
tout est important,1
toxic takeover talk from crazy foreigner,1
traffics,1
traffs and canada,1
tramp,1
transparancy,1
trariff,1
treating people like human beings,1
trfcvhjjjk,1
tromp,1
trop,1
trop de crosseur dans la politique je ny fait plus confiance,1
trop de point,1
trouver de nouveaux partenaires commerciaux,1
truthful information,1
truthfull,1
truthfulness,1
tryedo getting kicked off,1
tsrrifs,1
tygf,1
u s relationship,1
u s trades,1
un bon chef solide,1
un canada uni,1
un mieux vivre,1
unaffordability,1
une meilleur gestion sur plusieurs plans,1
unifier le canada,1
uniting canada and aligning our canadian regions,1
unlocking canadas resource potential,1
urban planning,1
uuu,1
v dxhbkk,1
vbnnm,1
very,1
vzdhzdgfzdfg,1
we are slave to other world order,1
we need change,1
what happens next,1
what polician really offer,1
what will happens to canada post,1
which one will have more advantage,1
who actually is going to change ou country,1
who can stand up to the giant cheese puff down south,1
who to pick,1
who will help me more,1
who will win,1
who wins,1
will the country continue to slide down,1
willingness to render decisions on facts presented rather than just political standing,1
wokism,1
worring about another ww starting,1
yea,1
yh89k7iu687pol,1
yhe priministwr,1
you are the best and you deserve the world,1
you personnally,1
yyggh,1
