mip_lower,n
living costs,4
low income housing,4
managing covid,4
managing the pandemic,4
medical care,4
minority rights,4
ne sais pas,4
ne sait pas,4
no opinion,4
pauvreté,4
post covid recovery,4
post pandemic recovery,4
poverty and inequality,4
reducing taxes,4
remboursement de la dette,4
respect du québec,4
seniors pensions,4
standard of living,4
the covid-19 pandemic,4
the environment/climate change,4
the national debt,4
to get rid of trudeau,4
transfert en santé,4
undecided,4
universal health care,4
war,4
who to vote for,4
yes,4
équilibre budgétaire,4
$,3
...,3
après pandémie,3
avoir un bon premier ministre,3
budget deficit,3
changement,3
civil liberties,3
climate change.,3
climate changes,3
cost of living and housing,3
cost of living for seniors,3
covid 19 management,3
covid 19 response,3
covid relief,3
covid safety,3
crise du logement,3
crise sanitaire,3
daycare costs,3
debit,3
defeat trudeau,3
deficit and debt,3
deficit spending,3
dette du canada,3
dette publique,3
dettes,3
disability,3
disability benefits,3
droit de la personne,3
du changement,3
dunno,3
ecomony,3
economic recovery after the pandemic,3
economy and affordability,3
economy issues,3
education and health care,3
environment / climate change,3
environment and climate,3
environment climate change,3
environnement et santé,3
environnement et économie,3
equal rights,3
ethics and accountability,3
federal budget,3
financial responsibility,3
financial stability,3
fiscal management,3
fiscal policy,3
food security,3
free speech,3
freedoms,3
gender equality,3
gestion de la covid,3
gestion de la dette,3
get rid of justin trudeau,3
get rid of the liberals,3
get trudeau out,3
getting out of the pandemic,3
getting rid of liberals,3
gouvernement minoritaire,3
government accountability,3
government overspending,3
government transparency,3
guns,3
handling the pandemic,3
health and pharmacare,3
health care.,3
health services,3
health-care,3
healthcare for seniors,3
healthcare system,3
honesty and transparency,3
honesty in government,3
honnêteté,3
housing and cost of living,3
housing price,3
i dont know,3
immigration policy,3
impot,3
impôts,3
indigenous people,3
indigenous rights and reconciliation,3
indépendance du québec,3
infrastructure,3
l'après pandémie,3
l'argent,3
l'emploi,3
l'endettement,3
l'écologie,3
la covid 19,3
la dette canadienne,3
la dette du pays,3
la dette fédérale,3
la gestion de la covid 19,3
la reprise de l'économie,3
la reprise economique,3
la santé et l'éducation,3
la vie,3
le deficit,3
le respect des compétences des provinces,3
les ainés,3
les changements climatiques.,3
les dépenses,3
les emplois,3
les garderies,3
liberty,3
living expenses,3
lower housing costs,3
lower tax,3
l’emploi,3
l’éducation,3
mandatory vaccination,3
mandatory vaccinations,3
medicare,3
not sure.,3
pandemic management,3
pcu,3
pension reform,3
personal freedoms,3
pipeline,3
political accountability,3
pollution,3
rebuilding the economy,3
rechauffement climatique,3
recovery,3
refugees,3
removing trudeau,3
representation,3
restarting the economy,3
rights,3
réduction du déficit,3
sais pas,3
santé et environnement,3
santé mentale,3
seniors health care,3
sortir les libéraux,3
stability,3
student loan forgiveness,3
sustainability,3
systemic racism,3
the national debt.,3
the taxes,3
to get rid of the liberals,3
too early,3
transparence,3
universal healthcare,3
vaccination mandates,3
vaccinations,3
virus,3
wealth distribution,3
work,3
économie et emploi,3
égalité,3
aboriginal issues,2
accessibility,2
accounability,2
affordability of housing,2
affordable  houses,2
affordable childcare,2
affordable health care,2
affordable houseing,2
all,2
all of them,2
an honest government,2
anti-semitism,2
après covid,2
armes à feu,2
assistance for seniors,2
autochtones,2
avenir,2
balanced budget,2
basic human rights,2
beating covid,2
being honest and transparent,2
benefits for seniors,2
better health care,2
bill 124,2
budget recovery,2
budgets,2
canada’s economy,2
carbon tax,2
cerb,2
change of leadership,2
change of ruling party,2
changements climatique,2
changer de premier ministre,2
changing government,2
child abuse,2
childcare costs,2
children,2
china virus,2
clean drinking water,2
clean drinking water for indigenous communities,2
climat change,2
climate chang,2
climate change and covid,2
climate change and environmental issues,2
climate change and the environment,2
climate change policy,2
climate warming,2
climate/environment,2
co-vid,2
competence,2
conserver un gouvernement minoritaire,2
continuity,2
control of covid,2
contrôle des armes à feu,2
corrupt politicians,2
cost,2
cost of living and taxes,2
cost of living.,2
cost of living/inflation,2
cost of rent,2
cout de la vie,2
covid -19,2
covid and economy,2
covid and health care,2
covid issues,2
covid passport,2
covid precautions,2
covid protocol,2
covid protocols,2
covid recovery plan,2
covid recovery.,2
covid supports,2
covid vaccination,2
covid vaccine,2
covid-19 pandemic,2
covid.,2
creating jobs,2
dealing with pandemic,2
dealing with the covid pandemic,2
dealing with the pandemic,2
debt and economy,2
debt and taxes,2
debt control,2
debt reduction,2
dental,2
dental care,2
discrimination,2
diversification,2
diversity,2
don’t care,2
droits et libertés,2
dumping trudeau,2
déficit fédéral,2
dépenses publiques,2
ecology,2
economic development,2
economic diversification,2
economic situation,2
economie du pays,2
economique,2
economy & jobs,2
economy and covid,2
economy and debt,2
economy and deficit,2
economy and healthcare,2
economy and inflation,2
economy/jobs,2
education funding,2
education reform,2
employment issues,2
energy,2
"environment, climate change",2
environment.,2
environmental issue,2
environnememt,2
environnment,2
equalization payments,2
ethics and corruption,2
ethics and honesty,2
ethics and integrity,2
fair taxes,2
families,2
family,2
family issues,2
federal spending,2
fighting racism,2
financial accountability,2
financial equality,2
financial recovery,2
finir la pandémie,2
fire arms,2
firearm rights,2
first past the post,2
fiscal accountability,2
follow up on promises,2
food,2
forced vaccinations,2
foreign affairs,2
foreign policy,2
garderies,2
gestion de la pandemie,2
gestion pandemie,2
gestion pandémie,2
get rid of trudeau and the liberals,2
getting a new prime minister,2
getting out of covid,2
getting past covid,2
getting rid of covid,2
getting rid of trudeau.,2
getting rid of trudope,2
getting the economy going again,2
good governance,2
good jobs,2
government,2
government deficit,2
government overreach,2
gun laws,2
handling of covid,2
handling of covid pandemic,2
having an election during a pandemic,2
health  care,2
health and covid,2
health and education,2
health are,2
health benefits,2
health care and housing,2
health care and seniors,2
health care and the pandemic,2
health care system,2
health issue,2
health safety,2
"health, education and economy",2
healthcare & education,2
healthcare funding,2
healthcare/pharmacare,2
high government spending,2
high tax,2
home affordability,2
homelessness and affordable housing,2
honest,2
honest politicians,2
honesty and accountability,2
honesty and integrity,2
honesty of candidates,2
house affordability,2
housing affordable,2
housing affordablity,2
housing and covid,2
housing and inflation,2
housing and living costs,2
housing and rent,2
housing cost,2
i do not know,2
i'm not sure,2
identité,2
il n'y en a pas,2
immigration and housing,2
immigration policies,2
improving the economy,2
income for seniors,2
indigenous matters,2
indigenous reparations,2
integrity in government,2
integrity of leaders,2
international relations,2
inutile,2
inégalités sociales,2
j'en ai aucune idée,2
je c pas,2
jobs/economy,2
jsais pas,2
jsp,2
justice sociale,2
keeping the conservatives out of office,2
keeping the conservatives out of power,2
keeping the liberals in power,2
l economie du pays,2
l'autonomie du québec,2
l'environnement et la covid,2
l'environnement et les changements climatiques,2
l'économie du pays,2
l'équilibre budgétaire,2
l`économie,2
la démocratie et la liberté,2
la gestion de la pandemie,2
la gestion de la pandémie et la reprise économique,2
la gestion du déficit,2
la langue,2
la langue francaise,2
la majorité,2
la place du québec dans le canada,2
la planète,2
la pénurie de main d'oeuvre,2
la reconnaissance du québec,2
la relance economique,2
la santer,2
la santé et l'économie,2
la santé et les soins aux personnes âgées,2
la santé et l’education,2
la santé et l’environnement,2
la santé financière,2
la stabilité,2
la vaccination obligatoire et le passeport vaccinal,2
la vérité,2
lack of leadership,2
langues officielles,2
largent,2
le bien être des gens,2
le cout de la vie,2
le logement,2
le manque de main d'oeuvre,2
le manque de personnel,2
le respect des pouvoirs provinciaux,2
le secteur de la santé,2
lemploie,2
les ainées,2
les armes a feu,2
les autochtones,2
les aînées,2
les aînés,2
les droits et libertés des citoyens,2
les droits humains,2
les intérêts du québec,2
les lois,2
les mesures sanitaires,2
les retraités,2
les services de garde,2
les valeurs du québec,2
less government,2
less taxes,2
lgbtq,2
lgbtq rights,2
liberal,2
liberal corruption,2
liberals,2
life affordability,2
living affordability,2
living wages,2
lockdowns,2
long term health care,2
looking after seniors,2
lowering debt,2
lowering the deficit,2
lutte climatique,2
lutte à la pauvreté,2
l’après covid,2
l’environnement et les changements climatiques,2
l’honnêteté,2
l’indépendance du québec,2
l’équilibre budgétaire,2
main d'oeuvre,2
management of the economy,2
management of the pandemic,2
mandated vaccines,2
medical freedom,2
medical services,2
mental illness,2
money spending,2
my rights,2
national security,2
national unity,2
new variants of covid 19,2
nil,2
no comments,2
no issues,2
no new taxes,2
no vaccine passport,2
no vaccine passports,2
non,2
not applicable,2
not sure yet,2
nothibg,2
nothing in particular,2
nothing specific,2
notre liberté,2
obtenir un gouvernement majoritaire,2
oil and gas,2
old age pension,2
opioid crisis,2
our economy,2
our rights,2
our rights and freedoms,2
out of control spending,2
over taxation,2
overcoming covid,2
overspending,2
paid sick leave,2
pandemic control,2
pandemic handling,2
pandemic relief,2
"pandémie, environnement",2
passeport vaccinale,2
pcre,2
pendemie,2
pensions for seniors,2
place en garderie,2
post covid economic recovery,2
post-covid,2
pourquoi avoir déclenché des élections,2
poverty and housing,2
poverty reduction,2
"poverty, homelessness",2
price of housing,2
programmes sociaux,2
pénurie de main d’œuvre,2
pénurie de main-d’oeuvre,2
racisme,2
real estate,2
rebuild the economy,2
reconnaissance du québec,2
recovering from covid,2
recovering from the pandemic,2
recovery from covid19,2
redistribution of wealth,2
reducing debt,2
relance économique après covid-19,2
removal of justin trudeau,2
rent control,2
représentativité,2
respect des juridictions provinciales,2
rising cost of living and taxes,2
rising prices,2
réduire la dette,2
salary,2
santé des canadiens,2
santé et éducation,2
santé publique,2
se débarasser de trudeau,2
se débarrasser de justin trudeau,2
security,2
senior health and care,2
senior healthcare,2
senior's issues,2
seniors income,2
seniors' issues,2
service de santé,2
social injustice,2
social policies,2
social supports,2
social welfare,2
soin de santé,2
soins santé,2
sortir de la covid,2
sortir de la pandémie,2
sortir justin trudeau,2
stability in government,2
stabilizing the economy,2
stopping covid,2
stopping immigration,2
support,2
support for families,2
support for seniors,2
système de la santé,2
taxe,2
taxes and cost of living,2
taxing the wealthy,2
taxs,2
the best for the country,2
the budget deficit,2
the canadian economy,2
the candidates,2
the debt.,2
the economy and healthcare,2
the economy and jobs,2
the economy.,2
the election,2
the environment and climate change,2
the federal debt and deficit,2
the federal deficit,2
the health care system,2
the indigenous people,2
the liberals,2
the rising cost of living,2
the vaccine passports,2
the virus,2
to vote,2
too many,2
too many issues,2
too many refugees,2
too much immigration,2
too soon,2
transferts aux provinces,2
transition écologique,2
treatment of seniors,2
truth and reconciliation,2
truthfulness,2
unaffordable housing,2
universal income,2
unnecessary,2
vaccination obligatoire,2
vaccine mandatory,2
very,2
very good,2
waste of money,2
wealth disparity,2
who will win the election,2
why it was called in the first place,2
woman’s rights,2
women’s rights,2
économie du pays,2
économie post covid,2
économique,2
,1
"$, health and taxes",1
$10 per diem daycare,1
-,1
.....,1
.le logement,1
0,1
1,1
600 million dollars was wasted on this election!!,1
600million dollars for an election during the pandemic what a joke,1
900% increase in old age benefits,1
??,1
???,1
a  honest government,1
a beneficial leader,1
a better dental care system,1
a better handling of the whole covid pandemic,1
a canada first attitude,1
a coilation party .,1
a communist party of canada win in all their circonscriptions,1
a descent into totalitarianism,1
a different choice for leader than all those that are running.,1
a fair voting policy. getting rid of first past post voting.,1
a fair working wage !!,1
a few,1
a forward looking covid management plan of action and committed elected officials,1
a government that governs for all cdns not just a few,1
a government that with be ethical in all respects,1
a guaranteed basic income,1
a guaranteed basic income.,1
a guaranteed equivalent to work income for disabled handicapped and seniors,1
a honest politician,1
a income that is enough to pay for all my needs...food...rent...medicines...,1
a majority government,1
a majority govt.,1
a majority liberal government,1
a more even balance between east and west,1
a more fair election system that promotes equality and cooperation between parties.,1
a national dental program that covers cleaning and preventative measures,1
a new government,1
a new pm,1
a party and premier that cares about us today.,1
a party that addresses the financial needs of pensioners,1
a party who is against mandatory vaccines,1
a plan for attacking climate change and using green energy,1
a plan to fight covid 19 and preparation for future pandemics,1
a plan to get rid of covid,1
a prime minister that keeps his promises,1
a prime minister with values and not corrupt,1
a recovery plan for post pandemic,1
a return to social order,1
"a safe, united country",1
a senior pension that is enough money for us senior to pay our bills and drugs and buy food and even buy a coffee once a month.,1
a socially conscious recovery from the pandemic,1
a stronger justice system and longer prison sentencing for serious crimes,1
a sustainable economy and controlling government mega debt,1
a universal basic income,1
a well run government without all the bickering. get on with running the country.,1
a worry that o'toole and the cons will dismantle our universal health care if they get into power.  this must not happen..,1
ability to afford living expenses as a senior and concerns how we will pay our huge and growing debt,1
ability to buy a home because prices are way out of control,1
ability to vote freely,1
abolishment of bill 64,1
abolition de la pcr,1
abolition monarchie,1
aboriginal affairs,1
aboriginal right,1
"aboriginal rights, especially clean water",1
aboriginal support,1
abortion (pro-life),1
abortion issue,1
"abortion laws, and the covid laws",1
abortion rights,1
abortion rights and climate change movements,1
absence of a worthy candidate,1
absolument aucun. quelle perte de temps et d'argent!,1
absolute justice for all. no discrimination.,1
"absolutely nothing, it really does not matter to me whatsoever...",1
abus de gaspillage d’argent pour la covid,1
abusive gun control politics,1
acceptance of massive immigrants that are not willing to assimilate live like canadians,1
accepting refugees and giving less fortunate a better life,1
acces a un logement a bon prix,1
access to affordable housing for canadian citizens,1
access to education and jobs,1
access to health care,1
accessability for the disabled,1
accessible to information and voting rights,1
accommodatibg the middle class,1
accomplir ces promesses aux citoyens canadiens,1
accountability - promise then carry out the promise,1
accountability / economy / keeping our personall freedoms,1
accountability and ethics,1
accountability and integrity,1
accountability and leadership,1
accountability and truth in the pmo,1
accountability for governmental actions,1
accountability in our government,1
accountability of federal politicians & the punishment for an unethical prime minister.,1
accountability of government,1
accountability of the elected officials.,1
accountability to voters,1
"accountability, not dictatorial rule.",1
accountability/ethics,1
accountabilty,1
accueil de plus de réfugiés,1
accès aux hôpitaux,1
accès aux logements abordables et à l’accès à la propriété pour tous!.  moins de spéculation immobilière…,1
accès aux soins de santé,1
accès soin santé,1
accès/liberté aux pleinement vaccinés,1
acheteur 1er maison,1
acting on promises that got the leader elected.,1
action against climate change.,1
action on climate change,1
"action on covid, lack of doctors, hurting healthcare",1
action on the climate crisis,1
activists are now terrorists,1
actual informed leadership over morphable ideology marketing,1
actually representation for the whole country not just then laurentian triangle,1
"actuellement, c'est les armes d'appoints",1
addiction and mental health,1
addressing afforable housing/living spaces in canada,1
"addressing climate change, housing & racial issues/discrimination",1
addressing climate changes,1
addressing covid without locking ontario down,1
addressing covid-19,1
addressing covid-19 recovery and its impact on the country,1
addressing housing prices,1
addressing pandemic recovery,1
addressing systemic poverty,1
addressing the housing crisis/ inflation without adjustment of the minimum wage,1
addressing unemployment specially oil & gas workers,1
adequate budget,1
adequate pay for public pension persons and retired persons and peraons with disabilities,1
adequate support for seniors,1
"affirmation of our rights as canadian citizens (specifically, medical rights)",1
afforadable housing,1
afforda le living for seniors,1
"affordability (wages, inflation, house prices, etc.)",1
affordability - particularly cost of housing,1
affordability and cost of living,1
affordability and equality,1
affordability and the cost of living,1
affordability in canada,1
"affordability of accommodation, food and healthcare",1
affordability of daily life,1
affordability of life,1
affordability of living,1
"affordability of living (housing, groceries, etc)",1
"affordability, free services for women, better public transport",1
affordability/cost of living,1
affordability/economy,1
affordablability,1
affordable,1
affordable child care,1
"affordable childcare, affordable housing, healthcare",1
affordable cost for living,1
affordable cost of living,1
affordable dwellings,1
affordable food,1
affordable houses,1
affordable housimg,1
affordable housing / housing crisis,1
affordable housing and cost of living,1
affordable housing and covid,1
affordable housing and crime,1
affordable housing and foreign policy,1
affordable housing and global warming,1
affordable housing and help for mentally ill,1
affordable housing and job opportunities,1
affordable housing and living,1
affordable housing and pharmacare.,1
affordable housing and poverty,1
affordable housing and solutions to the economic problems caused by the pandemic,1
affordable housing and tax rates,1
affordable housing for all people in canada especially limited income seniors,1
affordable housing for first time buyers,1
affordable housing for low income people,1
affordable housing for our young workers,1
affordable housing for persons on disability.that are 30% of your income.,1
affordable housing for seniors,1
affordable housing for seniors and increased senior's benefits,1
affordable housing for seniors and people on low fixed income,1
"affordable housing for younger generations. whether renting or buying, wages do not at all match living costs.",1
affordable housing in gta,1
affordable housing rent prices are too high,1
"affordable housing,",1
"affordable housing, education and reparations",1
"affordable housing, living wages",1
"affordable housing, low income housing, subsidized housing  or lack there of",1
"affordable housing, no more then 30%of income.",1
"affordable housing, reconciliation, and homelessness",1
affordable housing. my 35 year old son can not find anything to rent for himself and his son.,1
affordable housing/child care,1
affordable housing/homelessness,1
affordable housing/rent control,1
affordable housing/renting,1
affordable housings,1
affordable huosing,1
"affordable living (housing/rent prices, food prices)",1
affordable living and employment,1
affordable living for all canadians,1
affordable living getting trudeau out of power,1
affordable newer rental apts.,1
affordable old age care,1
affordable places to live,1
affordable price for routine,1
affordable prices,1
affordable property and taxes,1
affordable shelter,1
affordable standard of living,1
affordable telecommunications,1
affordibility,1
afforfable living,1
afganistan and getting our helpers to safe space,1
after effects of pandemic and recovery,1
against vaccine passports,1
agriculture,1
aide au enfants à besoin particulier,1
aide aux aines,1
aide aux ainés,1
aide aux familles,1
aide aux familles démunies,1
aide aux personnes à faible ou moyen revenu,1
aide aux travailleurs autonomes,1
aide financière aux citoyens,1
aide suite à la covid,1
aide à mourir et soins de fin de vie,1
"aide, armes, criminalité",1
aider les aînés intelligemment,1
"aider les familles,",1
aider les personnes agees,1
"aider les plus pauvres (mesures d'aide pour les personnes à faible revenu : $, logement, soins, garderie...)",1
aiming for stable economic growth,1
"aines, immagration",1
alberta independence,1
alberta's inequity in the governance of canada,1
alberta’s place in the country.,1
alienation of western canada by eastern canada namely ontario and quebec.,1
all are just fake promises they dont do anything,1
all first nations having fresh drinking water.,1
"all health care (including long term care, covid-19, hospitalization, doctors, pharmacare, dentalcare, etc.)",1
all incompetent leaders,1
all issues are very important to me personally,1
all levels of hospital care,1
all of it. canada sucks.,1
all parties want to take your money.,1
"all politicans tell you what you want to hear, and do nothing later",1
all promises no action,1
all the bs the candidates put forward.  they promise the moon if elected.,1
all the citizens and the residents of the country should be treated rightfully and with due diligence.,1
all the crooks running,1
all the lying,1
all things covid,1
all topics are important,1
aller de l'avant pour le covid 19 et la relance économique,1
allowing indigenous to have what is rightfully theirs,1
allowing to many uneducated non skilled immigrants.,1
ameliorer la situation de la classe moyenne,1
ameliorer le niveau  de vie et assurer la securité des citoyens,1
amount of debt,1
amount of national debt,1
amount of tax payers money being given to non-tax payers,1
"améliorer conditions de vie, qualité de vie des moins nantis",1
améliorer la qualité de vie des canadiens,1
améliorer le secteur hospitalier,1
améliorer nos finances et surtout remplacer m. justin trudeau,1
an effective return of the global economy,1
an end to political expediancy,1
an end to the corruption of trudeau,1
an intelligent leader,1
anger over unnecessary election,1
anglos rights in quebec,1
"animal rights, sustainability, climate change, plant based economy",1
animal welfare,1
anti vaxxers,1
anti-vaxers extending pandemic unnecessarily,1
"appaiser le comportement hystérique de notre espèce et par le fait même, assurer notre survie sans violence.",1
"appointing someone who is reponsible to, and reports to the electors.",1
approach to the pandemic,1
"appropriate governance that balances economic with environmental and social issues and fundamentally protects the canadian institutions, common law and principles of responsibility and accountability from all who seek rights and benefits.",1
appui à la laïcité,1
apres-pandemie,1
après-pandémie,1
argent pour les familles,1
"arme a feu, garderie, santé",1
armes a feu,1
"armes à feu, logements,sans-abri!!!!!!",1
"arms, environment, health",1
arreter de depenser l'argent pour des riens,1
arreter de dépenser des milliards.arret de la pccu.,1
arreter de nous endetter,1
arrogant government holding an unecessary elecriin,1
arrêter de donner de l’argent à ceux qui peuvent se trouver un travail.,1
arrêter de dépenser l’argent des contribuables,1
arrêter la pcu,1
arrêter la pcu. réduire la dette nationale.,1
arrêter le gaspillage,1
arrêter les depenses exagérées pour revenir à un équilibre budgétaire éeventuellement,1
arrêter les dépenses,1
arrêter les dépenses excessives de justin,1
arrêter l’hémorragie de la dette,1
arrêtez de faire entrer au canada des personnes qui ne veulent pas s’adapter à notre manière d’être,1
arts,1
as,1
as a senior i really need dental coverage  health care for seniors and my rent is 1000 a month not much left for anything,1
as always representation,1
as covid 19 allows get the country back on it's feet.,1
as i live in alberta i want to know what their plans are to assist in the pandemic that is,1
asdbf,1
assainir les finances,1
assessing social welfare and inequity in canada,1
assez les déficits,1
assistance aux personnes âgées,1
assistance for vulnerable populations,1
assurance meducament,1
assurer un meilleur avenir,1
assurer une continuité dans certains programmes,1
"attack on human rights during covid-19, slow reaction of the federal government and issues with reissuing of documents (pr card, citizenship, passport, etc)",1
atteindre la majorité,1
atteindre une majorité,1
"attempts to dismantle democratic freedoms, specifically free speech",1
aucun car c'est la meme dictature et les meme personnes,1
aucun du mensonge et des fausses promesses,1
aucun enjeu,1
aucun enjeu ils sont tous pareille.,1
aucun enjeu ne me concerne personnellement,1
"aucun enjeu, aucune attente, je vais voter dans une élection qui n'aurait pas dû être.",1
"aucun enjeu, trudeau voulait etre majoritaire et les chances qu'il le devienne sont tres minces!",1
"aucun enjeu, élection inutile",1
aucun véritable enjeu. ego de trudeau.,1
aucun élection inutile pendant une pandémie,1
aucun... perte de temps et d'argent,1
aucun...petit caprice libéral,1
aucun: perte de temps et d'argent,1
aucune idée pour moi c toujours pareil,1
aucune....trudeau a declancher des election pendant une pandemie pour faire sur qu'il remporte; avec tout les prcu et tout l argent des canadien depensser a outrance,1
augmentation de la pension de la veillesse,1
augmentation de la pension de vieillesse,1
augmentation des retraites,1
augmentation des transferts fédéraux aux provinces (santé),1
augmenter la pension des personnes âgées dès 65 ans,1
"augmenter la retraite, la sante",1
augmenter le revenu des aînés,1
augmenter les octrois en santé,1
augmenter les prestations de retraite des aînés.,1
austerity,1
authenticity,1
autism,1
autonomie citoyenne,1
autonomie des compétences provinciales,1
autonomie du quebec,1
autonomie provincial,1
autonomie provinciale,1
autonomie québécoise,1
autonomy,1
autonomy and freedom,1
"autosuffisance de canada en santé, en alimentation et en matériel",1
"availability of jobs, pay and housing",1
available and affordable health care,1
avenir environnemental,1
avenir économique et social au canada,1
avoid american style buulshit,1
avoiding a liberal majority,1
avoiding a socially conservative agenda.,1
"avoiding further social, health and economic issues related to covid",1
avoiding right wing doctrine,1
avoiding the nightmare that occured south of the border with the election of  the prior administration (45),1
avoiding the right wing disaster we saw happen in the usa,1
avoir des logements abordables pour les personnes démunies,1
avoir la majorité,1
avoir la majorité libérale,1
avoir le meilleur,1
avoir le meilleur parti au pouvoir,1
