FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income
Kenora-Rainy River,Ontario,24055,1755,3905,3240,2695,1810,1745,3850,3850,25244,23800,247
Kent,Ontario,27995,2280,4580,4025,3900,3800,2855,3710,3710,21567,20814,215
Kingston and the Islands (et les Îles),Ontario,32070,2810,4890,4250,4065,3800,3225,5895,5895,32070,23566,253
Kitchener,Ontario,40805,1445,5360,5315,5905,7230,3870,5145,5145,23142,24231,213
Lambton-Middlesex,Ontario,24365,1545,3465,3470,3250,3315,2885,3470,2955,23338,21877,277
Lanark-Renfrew-Carleton,Ontario,25870,1865,3905,3205,3060,2900,2900,3985,4175,24672,21851,224
Leeds-Grenville,Ontario,28120,1415,4535,4175,3950,3760,3000,4155,2675,21877,19384,198
Lincoln,Ontario,33105,3555,3455,3455,3705,4960,4495,6425,6175,25634,24084,220
London East (Est),Ontario,31525,1230,5455,5055,4585,3780,3120,3835,2810,20393,17576,173
London West (Ouest),Ontario,46630,3330,6085,6310,6020,5415,4845,7550,7550,25032,21425,196
London-Middlesex,Ontario,26430,1300,2845,3395,3805,3395,2115,3195,3195,25035,24685,207
Mississauga North (Nord),Ontario,59305,2120,3990,4505,5830,14135,7305,9715,14135,31069,29259,172
Mississauga South (Sud),Ontario,39655,1805,3470,3630,4895,5175,7290,7290,10865,32898,28298,285
Nepean-Carleton,Ontario,38015,980,1840,3350,4395,4845,4845,10130,10865,32723,32033,200
Niagara Falls,Ontario,26950,2060,4250,3610,3485,4265,3625,4610,2220,23063,21315,220
Nickel Belt,Ontario,25670,1535,2760,2350,3240,4695,3440,4435,3100,24484,22850,200
Nipissing,Ontario,22495,1770,3930,2880,3145,3035,2455,3330,1725,22058,19917,226
Northumberland,Ontario,25575,1535,4045,3785,3840,4025,3135,3345,2085,21334,19708,186
Ontario (FED-CEF),Ontario,34120,1160,2500,2500,2750,4275,5205,8495,7530,30042,29088,204
Oshawa,Ontario,39200,2085,3845,3845,4495,6215,5310,5555,7555,28336,25851,178
Ottawa Centre,Ontario,37855,2745,5105,4625,4810,4160,3535,5140,7875,27941,26753,223
Ottawa West (Ouest),Ontario,38600,2505,4625,4730,4430,4430,3565,5560,6930,26753,26753,495
Ottawa-Carleton,Ontario,43370,1985,3475,3425,4415,5040,9190,10795,4795,28381,28381,213
Ottawa-Vanier,Ontario,34010,3085,5870,5040,4780,3835,3185,4040,4040,17920,17920,195
Oxford,Ontario,28810,1730,3985,4065,3985,4270,3280,4120,2910,22470,20204,212
Parkdale-High Park,Ontario,34815,3100,5380,5185,4830,4140,3300,4400,4175,22037,22037,185
Parry Sound-Muskoka,Ontario,25470,2080,3930,4660,3670,2935,2365,2550,1725,18813,15646,179
Perth,Ontario,22560,1355,2285,3185,3440,3215,2495,3060,2085,21988,19280,255
Peterborough,Ontario,33250,2210,5035,4830,4515,4695,3775,4795,3365,22154,20024,181
Prince Edward-Hastings,Ontario,20455,1130,2355,3095,2920,3210,2525,2795,1700,21108,20735,256
Renfrew-Nipissing-Pembroke,Ontario,26250,2235,4495,3775,3905,3450,2520,2835,2520,20095,19982,185
Rosedale,Ontario,41615,5630,7630,5175,3900,5175,2975,4375,7425,24673,10837,374
Sarnia-Lambton,Ontario,29610,1840,3685,3025,3100,4135,4490,5060,5060,26254,24271,223
Sault Ste. Marie,Ontario,21950,1650,2805,3710,3205,3095,3730,3730,3730,23884,25193,259
Scarborough Centre,Ontario,28360,1240,2310,3010,3235,3610,3590,5950,5415,27712,25980,205
Scarborough East (Est),Ontario,31310,1545,3175,2740,3010,3315,3460,6010,7390,28432,26580,217
Scarborough West (Ouest),Ontario,30885,2355,4200,3510,3755,3790,3625,5380,4270,24191,22078,206
Simcoe North (Nord),Ontario,28330,1825,4870,4685,4235,3900,3065,2365,2330,21057,18080,233
Simcoe South (Sud),Ontario,32955,1075,3840,4160,4305,4875,4125,5745,4290,24720,22505,190
Spadina,Ontario,28305,2794,4610,4185,3700,3560,2370,3025,3025,23105,18272,280
St. Catharines,Ontario,37510,2765,4775,4950,4305,5215,6005,6005,6365,22864,22051,171
St. Paul's,Ontario,35545,1840,4085,4950,3915,4535,2975,5355,5355,25154,32862,512
Stormont-Dundas,Ontario,29370,2205,4340,4210,3620,3000,2835,3806,3806,21183,18376,187
Sudbury,Ontario,28705,2820,3380,3380,4110,4455,4495,3395,3395,22661,20772,192
Thunder Bay-Atikokan,Ontario,22205,1275,2885,2425,2505,2840,3845,3845,3560,25594,23557,254
Thunder Bay-Nipigon,Ontario,25185,1655,3005,2745,2370,3545,2865,4790,4040,26154,23932,254
Timiskaming,Ontario,18190,1770,3930,2555,2350,2455,1655,1895,1440,19537,16587,243
Timins-Chapleau,Ontario,20960,1750,2945,1935,2520,3280,3280,3310,1440,23584,21814,245
Trinity,Ontario,22720,2035,3035,3265,3470,3220,2955,2605,2330,21531,19434,194
Victoria-Haliburton,Ontario,31660,2455,6055,4465,4495,3180,3315,3315,3315,19533,16812,192
Waterloo,Ontario,38655,1875,4095,4670,4675,6240,6240,4345,4250,26260,23020,219
Welland,Ontario,27800,1995,4030,4030,3435,3800,4180,4180,3255,23521,21329,218
Wellington-Dufferin-Simcoe,Ontario,27960,1635,3865,3400,3555,4085,4095,4095,4290,21335,21335,230
Willowdale,Ontario,34450,1615,3610,4100,3875,5360,5360,6030,5590,25040,25040,256
Windsor West (Ouest),Ontario,29460,3185,5895,4075,3440,3540,2635,3355,3335,21063,17353,304
Windsor-Walkerville,Ontario,29850,2075,4875,3785,3850,3930,3185,4375,3175,24074,20804,326
York Centre,Ontario,33620,2620,4005,4255,4005,5640,4090,5640,6175,24990,22072,281
York East (Est),Ontario,39035,2160,5725,5725,5360,5095,4655,6280,5175,24287,21631,177
York North (Nord),Ontario,43345,1090,2805,2805,3160,4390,5015,10040,13676,32610,32610,300
York South (Sud)-Weston,Ontario,31425,2215,4195,4085,4085,3710,3710,4580,4580,22693,22693,87
York West (Ouest),Ontario,30175,1950,3175,3175,3965,3885,3885,5245,5245,24572,24118,185
York-Peel,Ontario,34490,1150,2510,2775,5055,4115,4495,7760,7760,31512,28846,258
York-Scarborough,Ontario,85025,4215,10585,7995,7005,8745,14910,14910,15090,29533,29533,201
Manitoba,Manitoba,357985,36115,51210,46270,45415,38885,33505,42725,37885,21721,19086,72
Brandon-Souris,Manitoba,25655,1875,4530,3890,4000,3245,2130,2810,1865,19386,16825,201
Churchill,Manitoba,19265,1870,1805,1700,1800,2305,2035,2885,875,24837,22981,283
Dauphin,Manitoba,18415,1410,4540,3295,2395,1625,1250,1330,875,15770,12252,218
Lisgar,Manitoba,20715,2430,3885,3785,3080,2510,1745,1770,1515,18484,15393,233
Portage-Marquette,Manitoba,21235,1865,4470,3745,2890,2275,1805,1806,1550,14778,14778,214
Provencher,Manitoba,21890,1130,3060,3010,3045,2415,2115,3140,1820,20533,18483,247
Selkirk-Interlake,Manitoba,20730,3560,3560,3000,2745,2450,2115,2605,905,22639,20198,226
St. Boniface,Manitoba,31890,2840,3880,4240,4160,4005,4210,5005,4005,23739,21607,228
Winnipeg North (Nord),Manitoba,31040,2995,4045,4355,4080,5005,5005,4740,2340,22087,21607,193
Winnipeg North Centre (Nord-Centre),Manitoba,26065,5310,5870,5210,5210,1895,1895,5740,905,14713,11863,159
Winnipeg-Assiniboine,Manitoba,32485,1280,2350,3025,3430,4070,4070,6580,7895,31625,27448,300
Winnipeg-Birds Hill,Manitoba,33885,2055,3630,4010,4805,5200,4310,5875,3810,23912,22547,163
Winnipeg-Fort Garry,Manitoba,33595,3010,4585,4770,4260,4245,4615,4785,4785,23727,20186,207
Winnipeg-St. James,Manitoba,24110,2430,3705,4140,3580,3005,2870,2870,1750,19624,17457,174
Saskatchewan,Saskatchewan,332710,27660,57250,46270,42665,38590,33365,42150,43770,22537,19086,69
Assiniboia,Saskatchewan,20865,1365,3355,3270,2835,2115,1595,2660,3140,20865,24504,385
Humboldt-Lake Centre,Saskatchewan,21050,1955,4465,3790,2745,2480,1745,1950,1955,19385,18380,303
Kindersley-Lloydminster,Saskatchewan,21875,2150,4020,3505,2885,2045,1725,1725,2415,21875,22426,338
Mackenzie,Saskatchewan,18135,1865,2795,2795,1975,2030,2335,2335,1510,15790,15790,281
Moose Jaw,Saskatchewan,22155,1470,3850,3080,2875,2240,1865,2600,2488,19500,19242,242
Prince Albert,Saskatchewan,23470,2430,4735,3360,2805,2550,2180,2990,2415,20852,17095,246
Qu'Appelle-Moose Mountain,Saskatchewan,18990,1685,4115,3400,2515,1700,1460,1780,2415,19937,15555,277
Regina East (Est),Saskatchewan,29575,2200,4130,3550,3600,4520,3145,4610,4785,24812,21771,228
Regina West (Ouest),Saskatchewan,32275,1905,3295,3580,3890,4210,4050,6090,5275,26508,24126,221
Saskatoon East (Est),Saskatchewan,27965,2865,4635,3565,3385,3105,4375,4375,5205,22407,22504,279
Saskatoon West (Ouest),Saskatchewan,36080,3050,5405,4880,4775,4115,2180,4725,7725,22194,19881,175
Swift Current-Maple Creek,Saskatchewan,18285,1405,2980,3400,3440,1865,1730,1730,1995,24383,19786,315
The Battlefords-Meadow Lake,Saskatchewan,19560,2150,4020,3115,2420,1725,1730,1725,2100,17208,15878,260
Yorkton-Melville,Saskatchewan,22815,2790,5075,6075,1695,1895,1725,2100,2100,13566,15878,366
Alberta,Alberta,758240,44895,84705,85975,87190,82110,66555,132525,156260,27969,24547,56
Athabasca,Alberta,26965,2165,3180,2855,2760,2755,2820,4640,5785,26814,24593,258
Bow River,Alberta,34675,3535,3540,4065,4130,3905,3905,5825,5785,25117,24672,341
Calgary Centre,Alberta,42205,7130,5355,6820,5845,4800,3745,5745,9170,23687,17539,285
Calgary East (Est),Alberta,49070,2480,3825,4580,5390,6380,6655,10610,9170,27533,26446,161
Calgary North (Nord),Alberta,36775,1210,2775,3630,3635,3795,4110,9835,7785,29000,29000,228
Calgary South (Sud),Alberta,45230,1325,2400,2940,3785,4580,4580,9745,15080,38392,32836,374
Calgary West (Ouest),Alberta,35645,1525,3095,3940,3875,3695,6350,6350,9745,32836,27501,281
Crowfoot,Alberta,22610,1690,3410,3410,2620,2195,2975,2975,3955,22610,19701,279
Edmonton East (Est),Alberta,39285,3515,6045,6045,5260,5895,3510,4870,8255,21013,17760,174
Edmonton North (Nord),Alberta,40575,2130,3805,5260,4565,4895,8895,8895,8255,26682,27827,181
Edmonton South (Sud),Alberta,37285,1845,3160,3640,3690,3500,3095,6315,12025,35158,28453,341
Edmonton West (Ouest),Alberta,37850,2515,4225,4870,4600,4255,3030,6295,6025,26305,23206,205
Edmonton-Strathcona,Alberta,41450,1845,3620,4325,4400,5225,5440,8060,7160,28743,26300,188
Lethbridge-Foothills,Alberta,34140,2220,5005,4490,4430,4320,4765,4955,4800,24208,21018,220
Medicine Hat,Alberta,32240,1960,4320,4020,4235,4185,4110,5335,4735,25113,21788,242
Peace River,Alberta,30080,2280,4175,3535,3250,3145,3145,5545,11590,25675,21914,257
Pembina,Alberta,39940,1485,2630,3660,3015,4705,4705,4705,11590,32758,31737,226
Red Deer,Alberta,39190,2710,5005,4570,4980,4570,4450,6265,11590,25269,22050,229
Vegreville,Alberta,27295,2790,4895,3180,2810,2690,1695,2510,22263,22263,22253,252
Wetaskiwin,Alberta,29835,1960,3940,3465,3395,3395,4935,4935,4735,22752,22752,269
Yellowhead,Alberta,35910,2170,3920,3490,3545,3460,4270,7005,7040,27653,25397,210
British Columbia - Colombie-Britannique,British Columbia,996645,66235,131925,115690,108930,121585,110010,165925,176355,26171,23042,45
Burnaby,British Columbia,40485,2580,5355,4695,4240,4735,4120,7995,7995,26754,23437,210
Capilano,British Columbia,34765,1630,3630,3430,3330,3450,3480,5180,11195,35638,28018,398
Cariboo-Chilcotin,British Columbia,27650,2390,3260,2795,3040,3950,3720,4605,4287,23000,23000,213
Comox-Powell River,British Columbia,42080,3025,5120,4785,4765,5380,4270,7005,8110,25068,23595,184
Cowichan-Malahat-The Islands (Les Îles),British Columbia,35075,2090,2600,4150,4290,3985,3875,6770,7080,26225,24739,191
Esquimalt-Saanich,British Columbia,40840,1910,7515,4670,4990,4540,4540,6895,7210,27208,27411,204
Fraser Valley East (Est),British Columbia,37395,2535,5085,4850,4780,5530,4995,5005,7325,23749,22814,265
Fraser Valley West (Ouest),British Columbia,42975,1540,7325,4130,4800,4850,5495,8330,8330,29458,24626,190
Kamloops-Shuswap,British Columbia,36735,2560,4875,4075,3650,4750,4430,6560,5725,25431,23218,209
Kootenay East (Est)-Revelstoke,British Columbia,27560,1805,3355,2905,3725,4015,3580,4980,4510,25802,24104,227
Kootenay West (Ouest),British Columbia,23435,1695,2710,2380,2690,3410,2895,3890,3100,23729,22309,211
Mission-Port Moody,British Columbia,38860,2325,3955,3375,3335,3455,4765,8215,7885,27828,25358,185
Nanaimo-Alberni,British Columbia,40300,3065,5625,4070,5050,5050,4610,6825,8255,24589,22504,185
New Westminster-Coquitlam,British Columbia,34370,2330,4985,4130,4240,3910,3910,5480,5850,25386,21839,226
